airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Alaska Airlines*,965346773,5,0,0,5,1,88
Air India*,869253552,2,1,329,4,1,158
Saudi Arabian,859673901,7,2,313,11,0,0
China Airlines,813216487,12,6,535,2,1,225
SWISS*,792601299,2,1,229,3,0,0
Air New Zealand*,710174817,3,0,0,5,1,7
Alitalia,698012498,7,2,50,4,0,0
SAS*,682971852,5,0,0,6,1,110
South African,651502442,2,1,159,1,0,0
Vietnam Airlines,625084918,7,3,171,1,0,0
TAP - Air Portugal,619130754,0,0,0,0,0,0
Garuda Indonesia,613356665,10,3,260,4,2,22
Aeromexico*,596871813,3,1,64,5,0,0
Egyptair,557699891,8,3,282,4,1,14
COPA,550491507,3,1,47,0,0,0
Finnair,506464950,1,0,0,0,0,0
Hawaiian Airlines,493877795,0,0,0,1,0,0
Ethiopian Airlines,488560643,25,5,167,5,2,92
Xiamen Airlines,430462962,9,1,82,2,0,0
Condor,417982610,2,1,16,0,0,0
Philippine Airlines,413007158,7,4,74,2,1,1
Avianca,396922563,5,3,323,0,0,0
Aerolineas Argentinas,385803648,6,0,0,1,0,0
Austrian Airlines,358239823,1,0,0,1,0,0
Pakistan International,348563137,8,3,234,10,2,46
El Al,335448023,1,1,4,1,0,0
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
Aer Lingus,320906734,2,0,0,0,0,0
Gulf Air,301379762,1,0,0,3,1,143
Royal Air Maroc,295705339,5,3,51,3,0,0
Kenya Airways,277414794,2,0,0,2,2,283
TACA,259373346,3,1,3,1,1,3
Aer Lingus,1620906734,2,0,0,0,0,0
