Survived,Name,Sex,Age,SibSp,Parch,Fare
No,"Braund, Mr. Owen Harris",male,22,1,0,7.25
Yes,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,71.2833
Yes,"Heikkinen, Miss. Laina",female,26,0,0,7.925
Yes,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,53.1
No,"Allen, Mr. William Henry",male,35,0,0,8.05
No,"Moran, Mr. James",male,,0,0,8.4583
No,"McCarthy, Mr. Timothy J",male,54,0,0,51.8625
No,"Palsson, Master. Gosta Leonard",male,2,3,1,21.075
Yes,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,11.1333
Yes,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,30.0708
Yes,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,16.7
Yes,"Bonnell, Miss. Elizabeth",female,58,0,0,26.55
No,"Saundercock, Mr. William Henry",male,20,0,0,8.05
No,"Andersson, Mr. Anders Johan",male,39,1,5,31.275
No,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,7.8542
Yes,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,16
No,"Rice, Master. Eugene",male,2,4,1,29.125
Yes,"Williams, Mr. Charles Eugene",male,,0,0,13
No,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,18
Yes,"Masselmani, Mrs. Fatima",female,,0,0,7.225
No,"Fynney, Mr. Joseph J",male,35,0,0,26
Yes,"Beesley, Mr. Lawrence",male,34,0,0,13
Yes,"McGowan, Miss. Anna ""Annie""",female,15,0,0,8.0292
Yes,"Sloper, Mr. William Thompson",male,28,0,0,35.5
No,"Palsson, Miss. Torborg Danira",female,8,3,1,21.075
Yes,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,31.3875
No,"Emir, Mr. Farred Chehab",male,,0,0,7.225
No,"Fortune, Mr. Charles Alexander",male,19,3,2,263
Yes,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,7.8792
No,"Todoroff, Mr. Lalio",male,,0,0,7.8958
No,"Uruchurtu, Don. Manuel E",male,40,0,0,27.7208
Yes,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,146.5208
Yes,"Glynn, Miss. Mary Agatha",female,,0,0,7.75
No,"Wheadon, Mr. Edward H",male,66,0,0,10.5
No,"Meyer, Mr. Edgar Joseph",male,28,1,0,82.1708
No,"Holverson, Mr. Alexander Oskar",male,42,1,0,52
Yes,"Mamee, Mr. Hanna",male,,0,0,7.2292
No,"Cann, Mr. Ernest Charles",male,21,0,0,8.05
No,"Vander Planke, Miss. Augusta Maria",female,18,2,0,18
Yes,"Nicola-Yarred, Miss. Jamila",female,14,1,0,11.2417
No,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,9.475
No,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,21
No,"Kraeff, Mr. Theodor",male,,0,0,7.8958
Yes,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,41.5792
Yes,"Devaney, Miss. Margaret Delia",female,19,0,0,7.8792
No,"Rogers, Mr. William John",male,,0,0,8.05
No,"Lennon, Mr. Denis",male,,1,0,15.5
Yes,"O'Driscoll, Miss. Bridget",female,,0,0,7.75
No,"Samaan, Mr. Youssef",male,,2,0,21.6792
No,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,17.8
No,"Panula, Master. Juha Niilo",male,7,4,1,39.6875
No,"Nosworthy, Mr. Richard Cater",male,21,0,0,7.8
Yes,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,76.7292
Yes,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,26
No,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,61.9792
Yes,"Woolner, Mr. Hugh",male,,0,0,35.5
Yes,"Rugg, Miss. Emily",female,21,0,0,10.5
No,"Novel, Mr. Mansouer",male,28.5,0,0,7.2292
Yes,"West, Miss. Constance Mirium",female,5,1,2,27.75
No,"Goodwin, Master. William Frederick",male,11,5,2,46.9
No,"Sirayanian, Mr. Orsen",male,22,0,0,7.2292
Yes,"Icard, Miss. Amelie",female,38,0,0,80
No,"Harris, Mr. Henry Birkhardt",male,45,1,0,83.475
No,"Skoog, Master. Harald",male,4,3,2,27.9
No,"Stewart, Mr. Albert A",male,,0,0,27.7208
Yes,"Moubarek, Master. Gerios",male,,1,1,15.2458
Yes,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,10.5
No,"Crease, Mr. Ernest James",male,19,0,0,8.1583
Yes,"Andersson, Miss. Erna Alexandra",female,17,4,2,7.925
No,"Kink, Mr. Vincenz",male,26,2,0,8.6625
No,"Jenkin, Mr. Stephen Curnow",male,32,0,0,10.5
No,"Goodwin, Miss. Lillian Amy",female,16,5,2,46.9
No,"Hood, Mr. Ambrose Jr",male,21,0,0,73.5
No,"Chronopoulos, Mr. Apostolos",male,26,1,0,14.4542
Yes,"Bing, Mr. Lee",male,32,0,0,56.4958
No,"Moen, Mr. Sigurd Hansen",male,25,0,0,7.65
No,"Staneff, Mr. Ivan",male,,0,0,7.8958
No,"Moutal, Mr. Rahamin Haim",male,,0,0,8.05
Yes,"Caldwell, Master. Alden Gates",male,0.83,0,2,29
Yes,"Dowdell, Miss. Elizabeth",female,30,0,0,12.475
No,"Waelens, Mr. Achille",male,22,0,0,9
Yes,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,9.5
Yes,"McDermott, Miss. Brigdet Delia",female,,0,0,7.7875
No,"Carrau, Mr. Francisco M",male,28,0,0,47.1
Yes,"Ilett, Miss. Bertha",female,17,0,0,10.5
Yes,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,15.85
No,"Ford, Mr. William Neal",male,16,1,3,34.375
No,"Slocovski, Mr. Selman Francis",male,,0,0,8.05
Yes,"Fortune, Miss. Mabel Helen",female,23,3,2,263
No,"Celotti, Mr. Francesco",male,24,0,0,8.05
No,"Christmann, Mr. Emil",male,29,0,0,8.05
No,"Andreasson, Mr. Paul Edvin",male,20,0,0,7.8542
No,"Chaffee, Mr. Herbert Fuller",male,46,1,0,61.175
No,"Dean, Mr. Bertram Frank",male,26,1,2,20.575
No,"Coxon, Mr. Daniel",male,59,0,0,7.25
No,"Shorney, Mr. Charles Joseph",male,,0,0,8.05
No,"Goldschmidt, Mr. George B",male,71,0,0,34.6542
Yes,"Greenfield, Mr. William Bertram",male,23,0,1,63.3583
Yes,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,23
No,"Kantor, Mr. Sinai",male,34,1,0,26
No,"Petranec, Miss. Matilda",female,28,0,0,7.8958
No,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,7.8958
No,"White, Mr. Richard Frasar",male,21,0,1,77.2875
No,"Johansson, Mr. Gustaf Joel",male,33,0,0,8.6542
No,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,7.925
No,"Mionoff, Mr. Stoytcho",male,28,0,0,7.8958
Yes,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,7.65
Yes,"Moss, Mr. Albert Johan",male,,0,0,7.775
No,"Rekic, Mr. Tido",male,38,0,0,7.8958
Yes,"Moran, Miss. Bertha",female,,1,0,24.15
No,"Porter, Mr. Walter Chamberlain",male,47,0,0,52
No,"Zabour, Miss. Hileni",female,14.5,1,0,14.4542
No,"Barton, Mr. David John",male,22,0,0,8.05
No,"Jussila, Miss. Katriina",female,20,1,0,9.825
No,"Attalah, Miss. Malake",female,17,0,0,14.4583
No,"Pekoniemi, Mr. Edvard",male,21,0,0,7.925
No,"Connors, Mr. Patrick",male,70.5,0,0,7.75
No,"Turpin, Mr. William John Robert",male,29,1,0,21
No,"Baxter, Mr. Quigg Edmond",male,24,0,1,247.5208
No,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,31.275
No,"Hickman, Mr. Stanley George",male,21,2,0,73.5
No,"Moore, Mr. Leonard Charles",male,,0,0,8.05
No,"Nasser, Mr. Nicholas",male,32.5,1,0,30.0708
Yes,"Webber, Miss. Susan",female,32.5,0,0,13
No,"White, Mr. Percival Wayland",male,54,0,1,77.2875
Yes,"Nicola-Yarred, Master. Elias",male,12,1,0,11.2417
No,"McMahon, Mr. Martin",male,,0,0,7.75
Yes,"Madsen, Mr. Fridtjof Arne",male,24,0,0,7.1417
Yes,"Peter, Miss. Anna",female,,1,1,22.3583
No,"Ekstrom, Mr. Johan",male,45,0,0,6.975
No,"Drazenoic, Mr. Jozef",male,33,0,0,7.8958
No,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,7.05
No,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,14.5
Yes,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,26
No,"Sobey, Mr. Samuel James Hayden",male,25,0,0,13
No,"Richard, Mr. Emile",male,23,0,0,15.0458
Yes,"Newsom, Miss. Helen Monypeny",female,19,0,2,26.2833
No,"Futrelle, Mr. Jacques Heath",male,37,1,0,53.1
No,"Osen, Mr. Olaf Elon",male,16,0,0,9.2167
No,"Giglio, Mr. Victor",male,24,0,0,79.2
No,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,15.2458
Yes,"Nysten, Miss. Anna Sofia",female,22,0,0,7.75
Yes,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,15.85
No,"Burke, Mr. Jeremiah",male,19,0,0,6.75
No,"Andrew, Mr. Edgardo Samuel",male,18,0,0,11.5
No,"Nicholls, Mr. Joseph Charles",male,19,1,1,36.75
Yes,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,7.7958
No,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,34.375
No,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,26
No,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,13
No,"Bateman, Rev. Robert James",male,51,0,0,12.525
Yes,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,66.6
No,"Meo, Mr. Alfonzo",male,55.5,0,0,8.05
No,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,14.5
No,"Olsen, Mr. Ole Martin",male,,0,0,7.3125
No,"Williams, Mr. Charles Duane",male,51,0,1,61.3792
Yes,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,7.7333
No,"Corn, Mr. Harry",male,30,0,0,8.05
No,"Smiljanic, Mr. Mile",male,,0,0,8.6625
No,"Sage, Master. Thomas Henry",male,,8,2,69.55
No,"Cribb, Mr. John Hatfield",male,44,0,1,16.1
Yes,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,15.75
No,"Bengtsson, Mr. John Viktor",male,26,0,0,7.775
No,"Calic, Mr. Jovo",male,17,0,0,8.6625
No,"Panula, Master. Eino Viljami",male,1,4,1,39.6875
Yes,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,20.525
Yes,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,55
No,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,27.9
No,"Baumann, Mr. John D",male,,0,0,25.925
No,"Ling, Mr. Lee",male,28,0,0,56.4958
No,"Van der hoef, Mr. Wyckoff",male,61,0,0,33.5
No,"Rice, Master. Arthur",male,4,4,1,29.125
Yes,"Johnson, Miss. Eleanor Ileen",female,1,1,1,11.1333
No,"Sivola, Mr. Antti Wilhelm",male,21,0,0,7.925
No,"Smith, Mr. James Clinch",male,56,0,0,30.6958
No,"Klasen, Mr. Klas Albin",male,18,1,1,7.8542
No,"Lefebre, Master. Henry Forbes",male,,3,1,25.4667
No,"Isham, Miss. Ann Elizabeth",female,50,0,0,28.7125
No,"Hale, Mr. Reginald",male,30,0,0,13
No,"Leonard, Mr. Lionel",male,36,0,0,0
